timestamp,node,metric,round
2026-02-20 23:22:48,node_8,0.07894736528396606,0
2026-02-20 23:22:48,node_4,0.004807692486792803,0
2026-02-20 23:22:48,node_3,0.007751937955617905,0
2026-02-20 23:22:48,node,0.0,0
2026-02-20 23:22:48,node_6,0.0053956834599375725,0
2026-02-20 23:22:48,node_5,0.19165247678756714,0
2026-02-20 23:22:49,node_2,0.3094479739665985,0
2026-02-20 23:22:49,node_7,0.18434342741966248,0
2026-02-20 23:22:49,node_1,0.06042972207069397,0
2026-02-20 23:22:54,node_1,0.12085944414138794,1
2026-02-20 23:22:54,node_2,0.0010615711798891425,1
2026-02-20 23:22:54,node_6,0.11690647155046463,1
2026-02-20 23:22:54,node_5,0.36456558108329773,1
2026-02-20 23:22:54,node_7,0.0,1
2026-02-20 23:22:54,node_4,0.32451921701431274,1
2026-02-20 23:22:54,node,0.017632242292165756,1
2026-02-20 23:22:54,node_8,0.31578946113586426,1
2026-02-20 23:22:54,node_3,0.000861326465383172,1
2026-02-20 23:22:59,node_2,0.07430998235940933,2
2026-02-20 23:22:59,node_7,0.0012626262614503503,2
2026-02-20 23:22:59,node_5,0.0,2
2026-02-20 23:22:59,node_6,0.125,2
2026-02-20 23:22:59,node_4,0.0,2
2026-02-20 23:22:59,node_8,0.0,2
2026-02-20 23:22:59,node,0.0,2
2026-02-20 23:22:59,node_3,0.006890611723065376,2
2026-02-20 23:23:00,node_1,0.3066248893737793,2
2026-02-20 23:23:05,node_5,0.0,3
2026-02-20 23:23:05,node_7,0.0012626262614503503,3
2026-02-20 23:23:05,node_1,0.3066248893737793,3
2026-02-20 23:23:05,node_6,0.125,3
2026-02-20 23:23:05,node_2,0.07430998235940933,3
2026-02-20 23:23:05,node_4,0.0,3
2026-02-20 23:23:05,node,0.0,3
2026-02-20 23:23:05,node_3,0.006890611723065376,3
2026-02-20 23:23:05,node_8,0.0,3
2026-02-20 23:23:10,node_8,0.0,4
2026-02-20 23:23:10,node,0.0,4
2026-02-20 23:23:10,node_4,0.0,4
2026-02-20 23:23:10,node_6,0.125,4
2026-02-20 23:23:10,node_3,0.006890611723065376,4
2026-02-20 23:23:10,node_7,0.0012626262614503503,4
2026-02-20 23:23:10,node_2,0.07430998235940933,4
2026-02-20 23:23:10,node_1,0.3066248893737793,4
2026-02-20 23:23:10,node_5,0.0,4
2026-02-20 23:23:16,node_1,0.3066248893737793,5
2026-02-20 23:23:16,node_5,0.0,5
2026-02-20 23:23:16,node_7,0.0012626262614503503,5
2026-02-20 23:23:16,node_2,0.07430998235940933,5
2026-02-20 23:23:16,node_6,0.125,5
2026-02-20 23:23:16,node,0.0,5
2026-02-20 23:23:16,node_4,0.0,5
2026-02-20 23:23:16,node_8,0.0,5
2026-02-20 23:23:16,node_3,0.006890611723065376,5
2026-02-20 23:23:21,node_1,0.3066248893737793,6
2026-02-20 23:23:21,node_2,0.07430998235940933,6
2026-02-20 23:23:21,node_7,0.0012626262614503503,6
2026-02-20 23:23:21,node_5,0.0,6
2026-02-20 23:23:21,node_6,0.125,6
2026-02-20 23:23:21,node_4,0.0,6
2026-02-20 23:23:21,node_8,0.0,6
2026-02-20 23:23:21,node,0.0,6
2026-02-20 23:23:21,node_3,0.006890611723065376,6
2026-02-20 23:23:26,node_5,0.0,7
2026-02-20 23:23:26,node_2,0.07430998235940933,7
2026-02-20 23:23:26,node_7,0.0012626262614503503,7
2026-02-20 23:23:26,node_6,0.125,7
2026-02-20 23:23:26,node_1,0.3066248893737793,7
2026-02-20 23:23:26,node_4,0.0,7
2026-02-20 23:23:26,node,0.0,7
2026-02-20 23:23:26,node_8,0.0,7
2026-02-20 23:23:26,node_3,0.006890611723065376,7
2026-02-20 23:23:32,node_5,0.0,8
2026-02-20 23:23:32,node_3,0.006890611723065376,8
2026-02-20 23:23:32,node_6,0.125,8
2026-02-20 23:23:32,node_8,0.0,8
2026-02-20 23:23:32,node,0.0,8
2026-02-20 23:23:32,node_4,0.0,8
2026-02-20 23:23:33,node_7,0.0012626262614503503,8
2026-02-20 23:23:33,node_1,0.3066248893737793,8
2026-02-20 23:23:33,node_2,0.07430998235940933,8
2026-02-20 23:23:39,node_7,0.0012626262614503503,9
2026-02-20 23:23:39,node_1,0.3066248893737793,9
2026-02-20 23:23:39,node_2,0.07430998235940933,9
2026-02-20 23:23:39,node_5,0.0,9
2026-02-20 23:23:39,node_6,0.125,9
2026-02-20 23:23:39,node_3,0.006890611723065376,9
2026-02-20 23:23:39,node_4,0.0,9
2026-02-20 23:23:39,node,0.0,9
2026-02-20 23:23:39,node_8,0.0,9
2026-02-20 23:23:44,node_1,0.3066248893737793,10
2026-02-20 23:23:44,node_2,0.07430998235940933,10
2026-02-20 23:23:44,node_7,0.0012626262614503503,10
2026-02-20 23:23:44,node_6,0.125,10
2026-02-20 23:23:44,node_5,0.0,10
2026-02-20 23:23:44,node_3,0.006890611723065376,10
2026-02-20 23:23:44,node_4,0.0,10
2026-02-20 23:23:44,node_8,0.0,10
2026-02-20 23:23:44,node,0.0,10
2026-02-20 23:23:49,node_2,0.07430998235940933,11
2026-02-20 23:23:49,node_1,0.3066248893737793,11
2026-02-20 23:23:49,node_6,0.125,11
2026-02-20 23:23:49,node_5,0.0,11
2026-02-20 23:23:49,node_7,0.0012626262614503503,11
2026-02-20 23:23:49,node_4,0.0,11
2026-02-20 23:23:49,node,0.0,11
2026-02-20 23:23:49,node_8,0.0,11
2026-02-20 23:23:49,node_3,0.006890611723065376,11
2026-02-20 23:23:54,node,0.0,12
2026-02-20 23:23:55,node_1,0.3066248893737793,12
2026-02-20 23:23:55,node_7,0.0012626262614503503,12
2026-02-20 23:23:55,node_5,0.0,12
2026-02-20 23:23:55,node_2,0.07430998235940933,12
2026-02-20 23:23:55,node_6,0.125,12
2026-02-20 23:23:55,node_3,0.006890611723065376,12
2026-02-20 23:23:55,node_4,0.0,12
2026-02-20 23:23:55,node_8,0.0,12
2026-02-20 23:24:01,node_2,0.07430998235940933,13
2026-02-20 23:24:01,node_1,0.3066248893737793,13
2026-02-20 23:24:01,node_5,0.0,13
2026-02-20 23:24:01,node_3,0.006890611723065376,13
2026-02-20 23:24:01,node_7,0.0012626262614503503,13
2026-02-20 23:24:01,node_4,0.0,13
2026-02-20 23:24:01,node_8,0.0,13
2026-02-20 23:24:01,node,0.0,13
2026-02-20 23:24:01,node_6,0.125,13
2026-02-20 23:24:06,node_8,0.0,14
2026-02-20 23:24:06,node,0.0,14
2026-02-20 23:24:06,node_4,0.0,14
2026-02-20 23:24:06,node_3,0.006890611723065376,14
2026-02-20 23:24:06,node_6,0.125,14
2026-02-20 23:24:07,node_1,0.3066248893737793,14
2026-02-20 23:24:07,node_2,0.07430998235940933,14
2026-02-20 23:24:07,node_7,0.0012626262614503503,14
2026-02-20 23:24:07,node_5,0.0,14
2026-02-20 23:24:11,node_7,0.0012626262614503503,15
2026-02-20 23:24:11,node_4,0.0,15
2026-02-20 23:24:11,node_3,0.006890611723065376,15
2026-02-20 23:24:11,node_8,0.0,15
2026-02-20 23:24:11,node_2,0.07430998235940933,15
2026-02-20 23:24:11,node_6,0.125,15
2026-02-20 23:24:11,node_5,0.0,15
2026-02-20 23:24:11,node,0.0,15
2026-02-20 23:24:12,node_1,0.3066248893737793,15
